,screen_name,location,description,listed_count,friends_count,followers_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot
1637,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1638,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1639,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1640,0,0,0,0.00023487042981288657,0.0010917654590559373,6.509388587595275e-05,1.1075190576341842e-05,1,0.011717324752674795,0,0,1,b'Ciel P [RP] \xe2\x80\xa2 Hiatus',1
1641,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1642,1,0,1,0.04924450011743522,5.716049523853075e-06,0.035962161968856994,0.000691091891963731,1,0.06562625189071176,1,0,0,b'Colorize_Bot \xf0\x9f\xa4\x96\xf0\x9f\x8c\x88',1
1643,0,0,0,0.0,0.003744012438123764,2.7122452448313646e-05,0.0020644155234301196,1,0.0002084933230013309,1,0,0,b'OLUWA DAMI LARE',1
1644,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1645,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1646,0,0,0,0.013231034212792609,0.011752197821041921,0.0008781647381598441,0.05711697284031015,1,0.07720631853907736,0,0,1,b'Cathy B \xf0\x9f\x8c\xbb',1
1647,0,0,0,0.0,0.0025722222857338835,4.4400459193165305e-05,0.007038283611265241,1,0.0021874424471556297,1,0,0,b'Jan',1
1648,0,0,0,0.006184921318406013,0.004241308746698981,0.00022441318062789884,7.863385309202708e-05,1,0.01384395664728837,0,0,1,b'Chris Ford',1
1649,0,0,0,0.00023487042981288657,0.007402284133389732,3.1542407662112906e-05,0.01023015353536696,1,0.002671444804123005,0,0,0,b'Atul Singh Sainger',1
1650,0,0,0,0.0,0.007253666845769551,0.00025957191528312024,0.004438936382997811,1,0.0013177274426357925,1,0,0,b'Al Steel',1
1651,1,0,1,0.0,0.0,6.429025765526198e-06,0.0,1,0.01896743185370917,1,0,1,b'The Age of Adz Bot',1
1652,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1653,1,0,1,0.0,0.0,2.009070551726937e-07,0.0,1,0.007281629305821481,1,0,0,b'\xf0\x9f\x93\x96\xf0\x9f\x8d\x80',1
1654,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1655,0,0,0,7.829014327096219e-05,0.004172716152412745,9.924808525531067e-05,0.0024011013169509114,1,0.0008610277827281153,1,0,0,b'KySamantha\xf0\x9f\x92\x95\xf0\x9f\x91\x84',1
1656,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1657,0,0,0,0.0003914507163548109,0.0003200987733357722,1.084898097932546e-05,0.0,1,0.007875090657364555,0,0,1,b'\xcc\xb9',1
1658,0,0,0,0.0,0.0007087901409577813,3.455601348970331e-05,0.0063892774434916085,1,0.000505348101941321,1,0,0,b'Rebecca Nabandeke \xe2\x9d\xa3\xe2\x9d\xa3\xe2\x9d\xa3',1
1659,0,0,0,7.829014327096219e-05,0.005441679146708127,9.161361715874832e-05,0.10324624910983156,1,0.00836256790304862,1,0,1,b'Se\xc3\xa1n \xc3\x93 Riain \xf0\x9f\x87\xae\xf0\x9f\x87\xaa \xf0\x9f\x87\xaa\xf0\x9f\x87\xba',1
1660,0,0,0,0.0,0.003200987733357722,1.6273471468988187e-05,0.005697078032470244,1,0.0006388831111969354,1,0,0,b'KongeKahwa',1
1661,0,0,0,0.0,6.287654476238382e-05,2.009070551726937e-07,5.537595288170921e-06,1,1.4892380214380776e-06,1,0,0,b'Diagnostic_kit_lab',1
1662,0,0,0,0.0006263211461676975,0.008162518720062191,4.480227330351069e-05,0.08496443202546408,1,0.0013303859658180162,1,0,1,b'The Man Who Bit the NFT\xe2\x80\x99s',1
1663,0,0,0,0.0003914507163548109,0.012032284247710722,9.362268771047526e-05,0.004634967256199061,1,0.0014127904696709232,1,0,0,b'nftpixelart365days',1
1664,0,0,0,7.829014327096219e-05,0.0013261234895339134,4.520408741385608e-05,0.009443815004446689,1,0.0005696335432000647,1,0,0,b'\xe2\x80\x8e.',1
1665,0,0,0,7.829014327096219e-05,0.0013261234895339134,4.520408741385608e-05,0.009443815004446689,1,0.0005696335432000647,1,0,0,b'\xe2\x80\x8e.',1
1666,0,0,0,7.829014327096219e-05,0.001377567935248591,1.4063493862088557e-05,0.031008318575641892,1,0.0010720031690985097,1,0,1,b'BushWookieBambi',1
1667,0,0,0,7.829014327096219e-05,2.28641980954123e-05,2.169796195865092e-05,0.0008439295219172483,1,0.00034624783998435306,1,0,1,b'Gary - The Scruffy Trader',1
1668,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1669,0,0,0,0.0,0.00030866667428806606,6.02721165518081e-07,0.0008572197506088586,1,6.900136165996426e-05,1,0,0,b'Zeralda ARB',1
1670,0,0,0,0.0,0.0017491111542990408,7.031746931044279e-05,0.04739960062862782,1,0.0017577972779707445,1,0,0,b'khyla mariah\xf0\x9f\x92\x8c',1
1671,1,0,1,0.04924450011743522,5.716049523853075e-06,0.035962161968856994,0.000691091891963731,1,0.06562625189071176,1,0,0,b'Colorize_Bot \xf0\x9f\xa4\x96\xf0\x9f\x8c\x88',1
1672,0,0,0,0.0,0.01200942004961531,0.0007079964624285726,0.007361679176094422,1,0.0031484973836570025,1,0,0,b'Thor Torrens\xf0\x9f\x9b\xa1',1
1673,0,0,0,0.0,0.00041727161524127447,1.205442331036162e-06,0.0001749880111062011,1,8.935428128628467e-05,1,0,0,b'CLOSET ARMY \xf0\x9f\x98\x89',1
1674,0,0,0,0.0,0.007528037222914499,0.00020351884688993868,0.04080321712135861,1,0.00710987052068229,1,0,0,b'\xf0\x9d\x92\xbb\xf0\x9d\x92\xb6\xf0\x9d\x92\xb9\xe2\x84\xaf \xf0\x9f\x8c\x92 (47-25)',1
